Statistikdatum,Region,Cases
2020-05-04,Gävleborg,23
2020-05-05,Gävleborg,14
2020-05-06,Gävleborg,23
2020-05-07,Gävleborg,36
2020-05-08,Gävleborg,23
2020-05-09,Gävleborg,51
2020-05-10,Gävleborg,6
2020-05-11,Gävleborg,12
2020-05-12,Gävleborg,27
2020-05-13,Gävleborg,30
2020-05-14,Gävleborg,40
2020-05-15,Gävleborg,30
2020-05-16,Gävleborg,24
2020-05-17,Gävleborg,7
2020-05-18,Gävleborg,15
2020-05-19,Gävleborg,34
2020-05-20,Gävleborg,25
2020-05-21,Gävleborg,25
2020-05-22,Gävleborg,23
2020-05-23,Gävleborg,22
2020-05-24,Gävleborg,8
2020-05-25,Gävleborg,18
2020-05-26,Gävleborg,22
2020-05-27,Gävleborg,30
2020-05-28,Gävleborg,27
2020-05-29,Gävleborg,30
2020-05-30,Gävleborg,26
2020-05-31,Gävleborg,12
2020-06-01,Gävleborg,9
2020-06-02,Gävleborg,46
2020-06-03,Gävleborg,31
2020-06-04,Gävleborg,44
2020-06-05,Gävleborg,43
2020-06-06,Gävleborg,37
2020-06-07,Gävleborg,21
2020-06-08,Gävleborg,15
2020-06-09,Gävleborg,12
2020-06-10,Gävleborg,66
2020-06-11,Gävleborg,52
2020-06-12,Gävleborg,56
2020-06-13,Gävleborg,44
2020-06-14,Gävleborg,35
2020-06-15,Gävleborg,23
2020-06-16,Gävleborg,38
2020-06-17,Gävleborg,41
2020-06-18,Gävleborg,65
2020-06-19,Gävleborg,30
2020-06-20,Gävleborg,31
2020-06-21,Gävleborg,12
2020-06-22,Gävleborg,9
2020-06-23,Gävleborg,52
2020-06-24,Gävleborg,136
2020-06-25,Gävleborg,86
2020-06-26,Gävleborg,84
2020-06-27,Gävleborg,2
2020-06-28,Gävleborg,5
2020-06-29,Gävleborg,27
2020-06-30,Gävleborg,7
2020-07-01,Gävleborg,56
2020-07-02,Gävleborg,7
2020-07-03,Gävleborg,69
2020-07-04,Gävleborg,13
2020-07-05,Gävleborg,49
2020-07-06,Gävleborg,19
2020-07-07,Gävleborg,13
